Timestamp,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-04T21:14:44.9355780,-1.07536,0.5966535,-0.1561614,355.1319,113.4774,356.0135,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:45.1367480,-1.07536,0.5966535,-0.1561614,355.1319,113.4774,356.0135,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.1581460,-1.07535,0.5966554,-0.1561504,355.1318,113.4762,356.0139,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.3033650,-1.075639,0.5964643,-0.1563798,355.1288,113.4752,355.9982,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.3831560,-1.075603,0.5966033,-0.1564146,355.1221,113.4645,355.9938,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.4355250,-1.075587,0.5964996,-0.1563071,355.1266,113.4701,355.9951,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.4674360,-1.075442,0.596691,-0.1564119,355.132,113.4665,355.9953,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.4953610,-1.075474,0.5967152,-0.1563485,355.1208,113.4738,355.9948,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.5163090,-1.075428,0.5966966,-0.156422,355.1187,113.4646,355.9892,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.5392450,-1.0754,0.5966533,-0.1563113,355.1212,113.4716,355.9981,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.5601890,-1.075442,0.596662,-0.1562762,355.1289,113.4707,355.9935,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.5831270,-1.075391,0.5963975,-0.1561973,355.1313,113.4658,356.0042,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.6040710,-1.075538,0.5965007,-0.1562101,355.1136,113.4673,355.9955,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.6300030,-1.075546,0.5965627,-0.1562468,355.1199,113.4691,355.994,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.6479540,-1.075531,0.5965667,-0.1562786,355.1162,113.4665,355.9903,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.6698950,-1.075461,0.5965759,-0.1562806,355.1233,113.4754,355.9974,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.6928340,-1.0754,0.5964413,-0.156239,355.119,113.4761,355.9953,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.7137780,-1.07539,0.596442,-0.1562073,355.1275,113.4742,355.999,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.7387110,-1.075429,0.5965408,-0.1563031,355.1276,113.4728,355.9967,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.7616490,-1.075513,0.5965618,-0.1561183,355.1132,113.468,356.0021,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.7835920,-1.075598,0.5966237,-0.1562358,355.1136,113.4661,356.0068,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.8065300,-1.075673,0.5965777,-0.156112,355.1174,113.4631,355.9993,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.8294680,-1.075769,0.5965524,-0.156037,355.1107,113.464,355.9898,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.8524070,-1.075913,0.5964765,-0.1562014,355.1104,113.4645,355.9893,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.8753460,-1.075778,0.5964403,-0.1562916,355.1226,113.4658,355.9943,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.8962910,-1.075613,0.596462,-0.1563492,355.1251,113.4654,355.9882,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.9202260,-1.075648,0.596393,-0.1563293,355.1223,113.4672,355.9881,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.9411700,-1.07559,0.5964269,-0.1563634,355.1196,113.4675,355.9852,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
2019-08-04T21:14:47.9790720,-1.075628,0.5964561,-0.1563864,355.1255,113.4612,356.0007,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,
