Timestamp,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-01T14:56:29.6381590,-0.2713233,1.648019,0.2374052,5.348056,186.703,4.20417,0.1295679,1.096182,0.1058663,293.6371,181.3329,225.802,-0.2646265,1.219793,-0.1462591,331.5298,331.1753,82.81432,,FrontWall
2019-08-01T14:56:29.6551140,-0.2715045,1.647946,0.2382055,5.460264,186.6961,4.168679,0.1295679,1.096182,0.1058663,294.0333,181.1535,226.0273,-0.2679927,1.220021,-0.1500084,331.5109,331.5087,83.32685,,FrontWall
2019-08-01T14:56:29.6760580,-0.2721796,1.647669,0.2397914,5.668188,186.7113,4.111153,0.1295679,1.096182,0.1058663,294.6487,179.8822,226.9558,-0.271691,1.22326,-0.1512986,331.5363,332.1153,84.61249,,FrontWall
2019-08-01T14:56:29.6945200,-0.2729341,1.647564,0.2412385,5.750645,186.7442,4.065856,0.1295679,1.096182,0.1058663,294.8841,177.626,229.0322,-0.27003,1.230512,-0.1406258,331.6969,332.4391,85.79969,,FrontWall
2019-08-01T14:56:29.7164670,-0.2736059,1.647371,0.2425292,5.650296,186.7509,4.020537,0.1295679,1.096182,0.1058663,294.8798,175.9677,230.7643,-0.272971,1.229613,-0.1417319,333.1392,331.7861,87.26183,,FrontWall
2019-08-01T14:56:29.7364080,-0.2737602,1.6472,0.2431693,5.599416,186.7594,4.034517,0.1295679,1.096182,0.1058663,295.0311,174.4831,232.5103,-0.272423,1.231941,-0.1346259,334.6658,331.3782,87.12351,,FrontWall
2019-08-01T14:56:29.7952500,-0.2744249,1.647107,0.2443346,5.628058,186.7847,4.104361,0.1295679,1.096182,0.1058663,295.0989,174.4869,232.5109,-0.2789789,1.227555,-0.1332164,335.3711,331.2152,86.79713,,FrontWall
2019-08-01T14:56:29.8112080,-0.2762671,1.646641,0.2467303,5.792397,186.7313,4.174932,0.1295679,1.096182,0.1058663,296.5587,179.4811,226.6549,-0.2797574,1.226613,-0.1300627,339.2957,325.7864,89.41133,,FrontWall
2019-08-01T14:56:29.8421260,-0.2767234,1.646481,0.2475007,5.886632,186.6925,4.124329,0.1295679,1.096182,0.1058663,296.714,180.8264,225.0028,-0.2801491,1.22517,-0.1266378,339.5117,324.9599,90.06857,,FrontWall
2019-08-01T14:56:29.8600770,-0.2774268,1.645853,0.2478959,6.168839,186.6008,3.996087,0.1295679,1.096182,0.1058663,296.4831,181.1354,224.4661,-0.2817641,1.221884,-0.1246968,339.8445,319.4373,94.11986,,FrontWall
2019-08-01T14:56:29.8790260,-0.2776676,1.645592,0.2478602,6.304842,186.5634,3.990363,0.1295679,1.096182,0.1058663,296.3691,181.1665,224.6519,-0.2792294,1.21959,-0.1196473,338.855,316.98,96.26694,,FrontWall
2019-08-01T14:56:29.9099450,-0.2782201,1.645012,0.2479866,6.624976,186.5068,3.949844,0.1295679,1.096182,0.1058663,296.3536,180.9504,225.093,-0.2782547,1.215328,-0.1181427,339.724,312.5653,98.88176,,FrontWall
2019-08-01T14:56:29.9259020,-0.2787608,1.643807,0.2479156,7.286927,186.4165,3.905506,0.1295679,1.096182,0.1058663,296.3548,180.4411,225.9066,-0.2782164,1.213549,-0.1177349,340.295,309.4891,101.4753,,FrontWall
2019-08-01T14:56:29.9418600,-0.2789437,1.643329,0.2477224,7.530602,186.3738,3.9337,0.1295679,1.096182,0.1058663,296.3858,180.0951,226.2455,-0.277005,1.215209,-0.1194444,340.6144,307.9474,101.9865,,FrontWall
2019-08-01T14:56:29.9608080,-0.2790767,1.642388,0.247398,8.07445,186.2926,4.014904,0.1295679,1.096182,0.1058663,296.2768,178.8889,227.2849,-0.2757881,1.216934,-0.1198846,341.1544,307.4407,101.2751,,FrontWall
2019-08-01T14:56:29.9747710,-0.2791268,1.641988,0.2472279,8.31163,186.2478,4.040093,0.1295679,1.096182,0.1058663,296.1167,178.1407,227.6574,-0.2731851,1.217938,-0.1202381,340.8641,307.162,101.9037,,FrontWall
2019-08-01T14:56:30.0046920,-0.2792479,1.641392,0.246576,8.688089,186.1869,4.062973,0.1295679,1.096182,0.1058663,295.9503,178.0027,227.3634,-0.2687093,1.222692,-0.1185575,340.5965,306.5811,102.8241,,FrontWall
2019-08-01T14:56:30.0236410,-0.279281,1.640836,0.2456088,8.867675,186.092,4.060552,0.1295679,1.096182,0.1058663,295.8185,179.1533,224.3849,-0.2629529,1.227149,-0.120007,338.9594,306.3532,103.5995,,FrontWall
2019-08-01T14:56:30.0395980,-0.2792228,1.64,0.245048,9.238755,185.8395,4.140106,0.1295679,1.096182,0.1058663,295.8299,179.4877,223.3425,-0.2605262,1.227556,-0.1215858,337.7879,307.2672,102.8645,,FrontWall
